__id_left,__id_right,match_score,match_rank,name_left,name_right
50_left,1344_right,0.22660646491335934,1,Luiz Dutra,Luiz Jorge Dutra Jr.
97_left,531_right,0.14062184409216136,1,Abdul Razak Alhassan,Razak Al-Hassan
173_left,581_right,0.202899649554925,1,Vinicius Queiroz,Vinicius Kappke de Queiroz
341_left,746_right,0.27480353735743857,1,Marcio Alexandre Junior,Marcio Alexandre Jr.
356_left,80_right,0.2501394121885121,1,Chris Cariaso,Chris Cariaso
372_left,415_right,0.2011855365035722,1,Michel Prazeres,Michel Richard Cunha dos Prazeres
541_left,896_right,0.2795235380870943,1,Benny Alloway,Ben Alloway
681_left,135_right,0.18602573422162616,1,Stevie Ray,Steven Ray
877_left,1461_right,0.12481499466330656,1,Luis Henrique,Luis Henrique Barbosa de Oliveira
885_left,1084_right,0.2640273114770059,1,Nate Moore,Nate Mohr
1039_left,1099_right,0.2122586760893389,1,Mike Brown,Mike Thomas Brown
1054_left,685_right,0.19015755930775322,1,Dan Stittgen,Daniel Stittgen
1084_left,1484_right,0.28309720374202324,1,Humberto Brown,Humberto Brown Morrison
1192_left,881_right,0.16576820447803045,1,Marcos Vinicius,Marcos Vinicius Borges Pancini
1249_left,708_right,0.14009926738359854,2,TJ O'Brien,T.J. O'Brien
1436_left,1257_right,0.2808774664507031,1,Diego Ferreira,Carlos Diego Ferreira
1578_left,307_right,0.16536898259875438,1,Dong Hyun Ma,Dong Hyun Kim
1578_left,671_right,0.16536898259875438,2,Dong Hyun Ma,Dong Hyun  Kim
1623_left,228_right,0.2055063153539519,1,Ovince Saint Preux,Ovince St. Preux
1675_left,625_right,0.25800673334743646,1,Anistavio Medeiros,Anistavio Medeiros de Figueiredo
1830_left,1427_right,0.271364937117742,1,Polo Reyes,Marco Polo Reyes
1841_left,442_right,0.1645240603772367,1,Claudio Silva,Claudio Henrique da Silva
2266_left,876_right,0.18995996680857774,1,John Teixeira,John Teixeira da Conceicao
2271_left,825_right,0.17903287143376503,1,Alan Patrick,Alan Patrick Silva Alves
2554_left,844_right,0.12724273365413125,1,Antonio Carlos Junior,Antonio Carlos Jr.
